CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12,CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href,CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-27,TagStyle__TagContent-sc-66xi2f-0,TagStyle__TagContentWrapper-sc-r1wv7a-1,TagStyle__TagContentWrapper-sc-r1wv7a-1 2,TagStyle__TagContentWrapper-sc-r1wv7a-1 3,TagStyle__TagContentWrapper-sc-r1wv7a-1 4,TagStyle__TagContentWrapper-sc-r1wv7a-1 5,ThumborImagesc__CustomImage-sc-1uzwahj-0 src,stylessc__ShieldBadge-sc-1cbkdr9-1 src,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14,CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 3,CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 3,CompactOpportunityCardsc__UpdatedAtMessage-sc-dkg8my-26,CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32
IT Business Process Analyst,https://glints.com/id/opportunities/jobs/it-business-process-analyst/b676b34c-8fa3-4bcf-bc58-0f4efd2e9bd5?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),SDLC,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Cakung,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/cakung,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 6 jt-7 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/31ab6d05-6c6e-4192-bb57-02030c71e67d?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Amazon Web Services (AWS),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/27027626eb8ec44d6c3c40ba37c0522a.png,,PT. ALL DATA INTERNATIONAL,https://glints.com/id/companies/pt-all-data-international/3b891422-83a0-4363-8a56-2d421bbd0a10,Kembangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,24 hari yang lalu,"Rp 6 jt-7,5 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/1f80d0d5-2792-4da1-bc30-7a5484b14518?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Cleaning,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/83639718eb95835a827e0f567e985dba.jpg,,PT Cybertrend Intrabuana,https://glints.com/id/companies/pt-cybertrend-intrabuana/262eca1e-9a45-4ab8-b032-a8ccf6522f8c,Cilandak,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,27 hari yang lalu,"Rp 6 jt-7,7 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/0edf986b-f8e3-4c58-96ac-d3cb489e9f4d?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Software Engineering,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3e8e2558c7e5caf7d281aa9552079488.jpeg,,Tada,https://glints.com/id/companies/tada/59cf5b71-5377-4886-9ffa-17820ef7e4ed,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,28 hari yang lalu,"Rp 6 jt-7,7 jt"
System Analyst,https://glints.com/id/opportunities/jobs/system-analyst/be3483b9-15a5-437e-aa2c-d09fd1428409?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),System Analysis,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/371a6940352d2139907dd17021886175.jpg,,APTAVIS,https://glints.com/id/companies/aptavis/fb01afcf-471c-41f2-9743-e3babb5b3bc3,Sukajadi,https://glints.com/id/job-location/indonesia/jawa-barat/bandung/sukajadi,Bandung,https://glints.com/id/job-location/indonesia/jawa-barat/bandung,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,1 bulan yang lalu,Rp 4 jt-5 jt
Data & Application Operation Engineer,https://glints.com/id/opportunities/jobs/data-and-application-operation-engineer/632129ca-6929-479f-87cc-d6562c8ed1d2?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Attention to Detail,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9df947d10dbfd6ea6fdc7f72be5e8a0b.jpg,,PT Adastra Visi Teknologi,https://glints.com/id/companies/pt-adastra-visi-teknologi/e8362290-dbb2-4c2c-82aa-a18227fa4c85,Kramatjati,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/kramatjati,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 9 jt
Product Market Analyst (Jakarta),https://glints.com/id/opportunities/jobs/product-market-analyst-jakarta/effa2c55-8bed-41f6-975c-2acd44bedd2a?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Communication Skills,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/cc6c576d3d1fc8550b38fdf700ac213f.jpg,https://glints.com/images/icons/vip-badge.svg,Delifru Flavour Expert,https://glints.com/id/companies/delifru-flavour-expert/013ae7b8-7985-4bdf-bea2-4af36153cf51,Kembangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,12 hari yang lalu,
IT System Analyst,https://glints.com/id/opportunities/jobs/it-system-analyst/7e6cc32c-3ce6-415f-a1b4-501a854c26dc?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),SQL,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/eecafe2ce82ce6e39bae82fafe897c4c.png,https://glints.com/images/icons/vip-badge.svg,PT. Transcosmos Indonesia,https://glints.com/id/companies/pt-transcosmos-indonesia/bb80186e-bc5f-48d4-963c-71349fe08acf,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,Kemarin,
IT Business Analyst,https://glints.com/id/opportunities/jobs/it-business-analyst/dc059ddb-f0ee-440a-bd37-cdca7531bed6?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Kontrak,3 – 5 tahun,Minimal Diploma (D1 - D4),Brd,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ab8b71c58f6883f650f549b3b9bb4eb6.jpg,,Pt. Tiga Daya Digital Indonesia,https://glints.com/id/companies/pt-tiga-daya-digital-indonesia/54dd0fb0-5873-4bf9-b5e9-b1939efef446,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,Kemarin,Rp 10 jt-18 jt
IT Business Analyst,https://glints.com/id/opportunities/jobs/it-business-analyst/372e7ddc-5a34-46ca-b1db-56cab8af0d6c?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Teamwork,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ef674468446e36198da02a498fad33da.png,https://glints.com/images/icons/vip-badge.svg,PT. Mandiri International Technology,https://glints.com/id/companies/pt-mandiri-international-technology/4cc92fae-eb04-42eb-a2e0-be7770866e04,Pancoran,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/pancoran,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,2 hari yang lalu,"Rp 5,5 jt-10 jt"
Business Risk Analyst,https://glints.com/id/opportunities/jobs/business-risk-analyst/e08a2422-8813-4b50-b63a-3ce85fc791b2?utm_referrer=explore&traceInfo=4fec8cb0-953e-44b7-9df7-95edc7308bed,,,Remote/Dari rumah,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/6ef84d7cb62101c2d400cd8ec868dc4a.png,,Confirmis Holdings,https://glints.com/id/companies/confirmis-holdings/8c30898b-b7cd-406e-bd56-83f0b09e45f7,Gambir,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat/gambir,Jakarta Pusat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-pusat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,"Rp 6 jt-6,5 jt"
Marketing Analyst,https://glints.com/id/opportunities/jobs/marketing-analyst/3ab109f8-8c8c-4a44-a79e-2aadc979bf56?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Teamwork,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/26af606375016653cbdaa8a6abfb894c.jpg,https://glints.com/images/icons/vip-badge.svg,PT. Steel Center Indonesia,https://glints.com/id/companies/pt-steel-center-indonesia/c5a207eb-e6f7-4695-ad6e-53c649ef16a9,Tanjung Priok,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/tanjung-priok,Jakarta Utara,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,6 hari yang lalu,Rp 7 jt-10 jt
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/0e1f4bca-3724-44b1-8987-5bbf1423495c?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Microsoft SQL Server,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/71905dc7ffd9412d376b9f48004cff61.jpg,,PT Hermes Solusi Integrasi,https://glints.com/id/companies/pt-hermes-solusi-integrasi/ef11e3bc-9ed1-49f6-8acc-148a9415bddc,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,8 hari yang lalu,Rp 9 jt-10 jt
System Analyst (Middle),https://glints.com/id/opportunities/jobs/system-analyst-middle/8fe7bacd-eec7-4c26-a387-8792509c290a?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),GIT,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/60f959e88f4f6476baa8a147a2f1c675.png,,Adins Center Of Excellence,https://glints.com/id/companies/adins-center-of-excellence/e7dd3947-b662-4c63-bccb-57c390df4759,Kebon Jeruk,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 9 jt-14 jt
Dosen Sains Data Terapan,https://glints.com/id/opportunities/jobs/dosen-sains-data-terapan/d83c1d4a-dbb4-4e75-995b-adf3c46ba479?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Hybrid,Penuh Waktu,Kurang dari setahun,Minimal Magister (S2),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/61517acf67adc779e61ea2e6fae59861.jpg,,Startup Campus,https://glints.com/id/companies/startup-campus/744366c0-078a-4545-a79e-b8eb435b553f,Serang,https://glints.com/id/job-location/indonesia/banten/serang/serang,Serang,https://glints.com/id/job-location/indonesia/banten/serang,Banten,https://glints.com/id/job-location/indonesia/banten,1 bulan yang lalu,Rp 1 jt
Senior Data Engineer,https://glints.com/id/opportunities/jobs/senior-data-engineer/1a2fa432-a586-488e-aec8-643eb0d05ded?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),CI/CD,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/ad250dd902b0c29b6c7df0725ccaf221.jpg,https://glints.com/images/icons/vip-badge.svg,Kreasi Dua Konsep (2Konzept),https://glints.com/id/companies/kreasi-dua-konsep-2konzept/84aa5588-dc89-413e-af4c-44f6c743b8cf,Kebayoran Lama,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/kebayoran-lama,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,7 hari yang lalu,Rp 8 jt-20 jt
Business Analyst,https://glints.com/id/opportunities/jobs/business-analyst/504c9b13-99a5-44a6-9511-6a36f706a9f2?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Software Development Life Cycle (Sdlc),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/73d516b02706268578142188ed35c206.jpg,https://glints.com/images/icons/vip-badge.svg,PT Imani Prima,https://glints.com/id/companies/pt-imani-prima/37ea08f1-5e9a-413b-8db0-f1222abf2f4b,Cilandak,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,16 hari yang lalu,Rp 5 jt-7 jt
Business Analyst,https://glints.com/id/opportunities/jobs/business-analyst/c5cba1ed-c08b-4fdd-aad5-a3470914fa55?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Diploma (D1 - D4),Business Planning,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1c3725518c204a6df29382eb736cab2e.png,https://glints.com/images/icons/vip-badge.svg,Derutive Insights Consulting,https://glints.com/id/companies/derutive-insights-consulting/fc619c1c-1da4-4e3b-971c-407e47b3b38c,Kebon Jeruk,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,17 hari yang lalu,Rp 5 jt-7 jt
Data Surveyor,https://glints.com/id/opportunities/jobs/data-surveyor/cec4c677-af06-4ba3-9302-fddc62e83785?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Hybrid,Kontrak,Kurang dari setahun,Minimal SMA/SMK,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/a837609c3dacd7f15a29caba75085a35.jpeg,,Ruveetex,https://glints.com/id/companies/ruveetex/468fc9b7-c2a7-4530-853e-c499e8ae6cae,Bogor Timur,https://glints.com/id/job-location/indonesia/jawa-barat/bogor/bogor-timur,Bogor,https://glints.com/id/job-location/indonesia/jawa-barat/bogor,Jawa Barat,https://glints.com/id/job-location/indonesia/jawa-barat,15 hari yang lalu,"Rp 1,3 jt-1,5 jt"
Business Analyst,https://glints.com/id/opportunities/jobs/business-analyst/f6f0c7bb-7c86-4471-b58e-714307a79784?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Software Documentation,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/0d123fafc5087eb3d92aede651bb41ed.jpg,https://glints.com/images/icons/vip-badge.svg,Indonesia Global Solusindo,https://glints.com/id/companies/indonesia-global-solusindo/b93039b8-c530-414d-a162-8b5d943f08f1,Grogol Petamburan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/grogol-petamburan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,28 hari yang lalu,
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/31ab6d05-6c6e-4192-bb57-02030c71e67d?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Kontrak,1 – 3 tahun,Minimal Sarjana (S1),Amazon Web Services (AWS),3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/27027626eb8ec44d6c3c40ba37c0522a.png,,PT. ALL DATA INTERNATIONAL,https://glints.com/id/companies/pt-all-data-international/3b891422-83a0-4363-8a56-2d421bbd0a10,Kembangan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kembangan,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,24 hari yang lalu,"Rp 6 jt-7,5 jt"
Analyst,https://glints.com/id/opportunities/jobs/analyst/ac90f596-51fd-4a1d-bfb1-bbf7c442d274?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,Kurang dari setahun,Minimal Diploma (D1 - D4),Microsoft Excel,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1e36ca8ed99bdac6a348da986f1b696f.jpg,,Linkage,https://glints.com/id/companies/linkage/bc3722ae-3182-46ee-afd6-a3ceb8e4e832,Gresik,https://glints.com/id/job-location/indonesia/jawa-timur/kab-gresik/gresik,Kab. Gresik,https://glints.com/id/job-location/indonesia/jawa-timur/kab-gresik,Jawa Timur,https://glints.com/id/job-location/indonesia/jawa-timur,13 hari yang lalu,"Rp 4,8 jt-7 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/1f80d0d5-2792-4da1-bc30-7a5484b14518?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Data Cleaning,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/83639718eb95835a827e0f567e985dba.jpg,,PT Cybertrend Intrabuana,https://glints.com/id/companies/pt-cybertrend-intrabuana/262eca1e-9a45-4ab8-b032-a8ccf6522f8c,Cilandak,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/cilandak,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,27 hari yang lalu,"Rp 6 jt-7,7 jt"
Data Engineer,https://glints.com/id/opportunities/jobs/data-engineer/0edf986b-f8e3-4c58-96ac-d3cb489e9f4d?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,1 – 3 tahun,Minimal Sarjana (S1),Software Engineering,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3e8e2558c7e5caf7d281aa9552079488.jpeg,,Tada,https://glints.com/id/companies/tada/59cf5b71-5377-4886-9ffa-17820ef7e4ed,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,28 hari yang lalu,"Rp 6 jt-7,7 jt"
System Analyst Middle,https://glints.com/id/opportunities/jobs/system-analyst-middle/9e903260-d6ce-4cfa-a733-a534d8d7d22f?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,3 – 5 tahun,Minimal Sarjana (S1),System Analyst,6,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/f60ff685c6ed2fe181a0d38b1a7cadf2.png,,PT Aktualisasi Gratia Talenta Indonesia,https://glints.com/id/companies/pt-aktualisasi-gratia-talenta-indonesia/fee5a824-ca35-48ae-90b4-2580f7ad1f23,Kebon Jeruk,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat/kebon-jeruk,Jakarta Barat,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-barat,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,20 hari yang lalu,Rp 10 jt-11 jt
Business Analyst,https://glints.com/id/opportunities/jobs/business-analyst/dbfc7eef-d6bc-4305-a1c7-0155e50fec66?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Data Analytics,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/bb295abd4a0fb651a21bdc2781e29b5d.png,,Star Karlo Indonesia,https://glints.com/id/companies/star-karlo-indonesia/ba097884-2dd3-46d6-911d-e3e90be8927b,Genuk,https://glints.com/id/job-location/indonesia/jawa-tengah/semarang/genuk,Semarang,https://glints.com/id/job-location/indonesia/jawa-tengah/semarang,Jawa Tengah,https://glints.com/id/job-location/indonesia/jawa-tengah,9 hari yang lalu,"Rp 5 jt-7,5 jt"
Data & Application Operation Engineer,https://glints.com/id/opportunities/jobs/data-and-application-operation-engineer/632129ca-6929-479f-87cc-d6562c8ed1d2?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,5 – 10 tahun,Minimal Sarjana (S1),Attention to Detail,3,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/9df947d10dbfd6ea6fdc7f72be5e8a0b.jpg,,PT Adastra Visi Teknologi,https://glints.com/id/companies/pt-adastra-visi-teknologi/e8362290-dbb2-4c2c-82aa-a18227fa4c85,Kramatjati,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur/kramatjati,Jakarta Timur,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-timur,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,3 hari yang lalu,Rp 9 jt
Enterprise Data Warehouse - Banking,https://glints.com/id/opportunities/jobs/enterprise-data-warehouse-banking/41e73c33-da16-4716-82e8-75a49bbca6b4?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),Linux System Administration,5,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/3aba5816b8ecfbb79a395592af581035.png,https://glints.com/images/icons/vip-badge.svg,PT Sigma Global Teknologi,https://glints.com/id/companies/pt-sigma-global-teknologi/1cb01218-d1de-4e0c-b7a4-cb7865f3baae,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,7 hari yang lalu,Rp 13 jt-14 jt
Quality Assurance (QA) Analyst,https://glints.com/id/opportunities/jobs/quality-assurance-qa-analyst/9fe4f083-d082-41eb-a953-385132bccfb2?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,Perusahaan Premium,Kontrak,3 – 5 tahun,Minimal Sarjana (S1),System Analysis,9,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/263162040d64c3431077d2d80bd240f3.png,https://glints.com/images/icons/vip-badge.svg,PT. Amalura Multi Dimensi,https://glints.com/id/companies/pt-amalura-multi-dimensi/c7e248c4-80c4-4ba9-b251-1a413a25a910,Setiabudi,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan/setiabudi,Jakarta Selatan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-selatan,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,59 detik yang lalu,Rp 7 jt-10 jt
Functional Analyst/Business Analyst,https://glints.com/id/opportunities/jobs/functional-analyst-business-analyst/a6067ff3-a2ef-4938-b471-a13c15606c64?utm_referrer=explore&traceInfo=43e05e03bae2f57e003b23d803b4c23f,,,Penuh Waktu,1 – 3 tahun,Minimal Diploma (D1 - D4),Business Analysis,4,https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1.aliyuncs.com/company-logo/1629d42ed5bcdfaada5c89af3700abd8.jpg,,Porto Indonesia Sejahtera,https://glints.com/id/companies/porto-indonesia-sejahtera/be5de164-3a5a-4143-a8ef-03212a95aac1,Penjaringan,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara/penjaringan,Jakarta Utara,https://glints.com/id/job-location/indonesia/dki-jakarta/jakarta-utara,DKI Jakarta,https://glints.com/id/job-location/indonesia/dki-jakarta,14 hari yang lalu,"Rp 5 jt-7,5 jt"
